File Name,Page Number,Page Link,Extension,Link
EFTA00128607.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128607.mp4
EFTA00128608.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128608.mp4
EFTA00128609.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128609.mp4
EFTA00128610.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128610.mp4
EFTA00128611.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128611.mp4
EFTA00128612.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128612.mp4
EFTA00128613.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128613.mp4
EFTA00128614.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128614.mp4
EFTA00128615.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128615.mp4
EFTA00128616.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128616.mp4
EFTA00128617.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128617.mp4
EFTA00128618.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128618.mp4
EFTA00128619.mp4,172,https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=171,.mp4,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128619.mp4
